College,Player,?Pk,Rk,Tm,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,BPM,VORP
Kansas,Andrew Wiggins,1,1,CLE,6,454,35.8,19.7,4.4,2.3,0.441,0.332,0.732,15,0.044,-1.9,0.2
Duke,Jabari Parker,2,2,MIL,6,285,29,14.9,5.7,2.1,0.493,0.324,0.74,13.2,0.077,-0.8,2.4
Kansas,Joel Embiid,3,3,PHI,4,209,30.4,23.9,11.5,3.1,0.48,0.319,0.793,22.8,0.172,4.3,10.1
Arizona,Aaron Gordon,4,4,ORL,6,403,28.6,12.8,6.4,2.4,0.448,0.319,0.701,21.7,0.09,0,5.7
Oklahoma State,Marcus Smart,6,6,BOS,6,401,28.9,9.9,3.6,4.1,0.373,0.318,0.775,20.7,0.086,-0.3,5
Kentucky,Julius Randle,7,7,LAL,6,375,29.2,16.1,9,2.8,0.493,0.295,0.724,20.5,0.09,-0.5,4.1
Michigan,Nik Stauskas,8,8,SAC,5,335,19.9,6.8,2.1,1.5,0.389,0.353,0.814,3.8,0.028,-3,-1.7
Indiana,Noah Vonleh,9,9,CHH,6,335,16.9,5,5.2,0.8,0.46,0.31,0.691,9.3,0.079,-2.4,-0.5
LA-Lafayette,Elfrid Payton,10,10,PHI,6,387,29.3,11,4.4,6.6,0.452,0.289,0.625,14.9,0.063,-0.5,4.3
Creighton,Doug McDermott,11,11,DEN,6,410,19.9,8.2,2.2,0.8,0.465,0.412,0.825,13.9,0.082,-2,-0.1
UCLA,Zach LaVine,13,13,MIN,6,353,30.8,17.7,3.6,3.6,0.447,0.375,0.819,12,0.053,-0.6,3.8
NC State,T.J. Warren,14,14,PHO,6,328,28.8,15.5,4.1,1.2,0.507,0.361,0.779,19.5,0.099,-0.2,4.3
Michigan State,Adreian Payne,15,15,ATL,4,107,13.1,4,2.9,0.6,0.406,0.254,0.68,-0.6,-0.019,-5.9,-1.4
Kentucky,James Young,17,17,BOS,4,95,8.5,2.3,1,0.3,0.367,0.277,0.563,0.8,0.046,-3.4,-0.3
Syracuse,Tyler Ennis,18,18,PHO,4,186,12.6,4.2,1.3,1.9,0.419,0.317,0.768,1.3,0.026,-3.4,-0.8
Michigan State,Gary Harris,19,19,CHI,6,368,29,12.1,2.6,2.1,0.454,0.36,0.803,17.9,0.081,-0.9,2.9
Michigan,Mitch McGary,21,21,OKC,2,52,10.7,4.4,3.5,0.3,0.527,0,0.58,1.3,0.108,-2.6,-0.1
UCLA,Jordan Adams,22,22,MEM,2,32,8.2,3.2,0.9,0.6,0.402,0.385,0.607,0.4,0.07,1.7,0.2
Duke,Rodney Hood,23,23,UTA,6,341,27.3,12.5,2.9,1.9,0.426,0.372,0.839,17.1,0.088,-0.5,3.4
UConn,Shabazz Napier,24,24,CHH,6,345,17.4,7.1,1.9,2.5,0.397,0.345,0.815,8.1,0.065,-0.7,2
UNC,P.J. Hairston,26,26,MIA,2,111,18,6,2.4,0.5,0.343,0.295,0.81,0.9,0.021,-3.9,-1
Washington,C.J. Wilcox,28,28,LAC,3,66,5.7,2,0.5,0.5,0.37,0.333,0.813,0.1,0.007,-4.3,-0.2
Stanford,Josh Huestis,29,29,OKC,3,76,14.1,2.5,2.4,0.3,0.346,0.312,0.24,0.7,0.03,-3.5,-0.4
UCLA,Kyle Anderson,30,30,SAS,6,367,19.7,5.4,4,2,0.488,0.311,0.699,17.9,0.119,1.4,6.3
Clemson,K.J. McDaniels,32,32,PHI,3,148,14.1,5.3,2.2,0.6,0.412,0.29,0.776,1.3,0.03,-2.8,-0.4
Virginia,Joe Harris,33,33,CLE,6,331,24.3,10.4,3.1,1.6,0.479,0.426,0.779,14.7,0.088,-0.7,2.5
Wichita State,Cleanthony Early,34,34,NYK,2,56,14.3,4.3,2.2,0.8,0.346,0.263,0.75,-0.6,-0.039,-5.9,-0.8
LSU,Johnny O'Bryant,36,36,MIL,4,147,11.5,3.5,2.4,0.5,0.402,0.36,0.663,0.2,0.006,-6.2,-1.8
Colorado,Spencer Dinwiddie,38,38,DET,6,317,25.7,12.9,2.8,5,0.41,0.318,0.793,18.3,0.108,0.4,4.8
Syracuse,Jerami Grant,39,39,PHI,6,454,24.5,9.3,3.9,1.1,0.465,0.347,0.669,22.6,0.098,-0.9,3.1
Michigan,Glenn Robinson,40,40,MIN,6,281,17.5,6,2.6,0.8,0.459,0.373,0.768,7.6,0.074,-1.5,0.6
Arizona,Nick Johnson,42,42,HOU,1,28,9.4,2.6,1.4,0.4,0.347,0.238,0.68,-0.1,-0.02,-6.5,-0.3
Oklahoma State,Markel Brown,44,44,MIN,3,113,15.9,5.2,2.1,1.2,0.38,0.295,0.781,1.1,0.029,-2.9,-0.4
Stanford,Dwight Powell,45,45,CHH,6,371,18.7,7.7,4.6,1,0.563,0.293,0.739,26,0.179,1.4,6.1
Missouri,Jordan Clarkson,46,46,WAS,6,453,27,14.8,3.1,2.6,0.446,0.342,0.818,13.9,0.055,-0.7,3.9
Louisville,Russ Smith,47,47,PHI,2,27,4.9,2,0.6,0.7,0.319,0.188,0.769,-0.2,-0.068,-5.1,-0.1
Pitt,Lamar Patterson,48,48,MIL,2,40,10.9,2.3,1.4,1.1,0.326,0.236,0.72,0.1,0.006,-5.7,-0.4
New Mexico,Cameron Bairstow,49,49,CHI,2,36,4.6,1.2,1,0.2,0.296,0.2,0.846,-0.1,-0.021,-8.1,-0.3
Xavier,Semaj Christon,55,55,MIA,1,64,15.2,2.9,1.4,2,0.345,0.19,0.548,0.1,0.006,-5.1,-0.8
Iowa,Devyn Marble,56,56,DEN,2,44,10.4,2.2,1.6,0.7,0.304,0.222,0.375,-0.3,-0.028,-5.5,-0.4
Tennessee,Jordan McRae,58,58,SAS,4,123,13.8,6.9,1.8,1.4,0.417,0.355,0.772,1.7,0.048,-2.1,0
Baylor,Cory Jefferson,60,60,SAS,2,58,10,3.5,2.8,0.3,0.444,0.125,0.583,0.9,0.071,-3.3,-0.2
